,WinGoldDiff,WinKP,WinDP,WinGoldShare,WinDmgShare,WinDmgRate,WinCSRate,WinTime,WinningestChampion,LoseGoldDiff,LoseKP,LoseDP,LoseGoldShare,LoseDmgShare,LoseDmgRate,LoseCSRate,LoseTime,LosingestChampion
Big Dlktor,323.9428571428571,43.05571428571429,27.466857142857144,19.10514285714285,21.476857142857142,704.8714285714286,4.528857142857144,32.38399999999999,112,-2739.3684210526317,47.4757894736842,24.55736842105263,20.284999999999997,23.432105263157897,594.7368421052632,4.742894736842106,29.43263157894737,112
AngelicHalo54,2355.264705882353,51.64382352941177,21.50588235294118,21.822352941176472,21.685000000000002,696.7547058823529,4.6782352941176475,31.4014705882353,98,-655.7727272727273,52.216363636363646,20.73045454545455,21.808636363636364,22.795454545454547,645.3081818181819,4.52909090909091,33.385,114
Khaegii,1912.357142857143,54.022857142857156,12.718928571428568,15.905357142857142,17.36714285714286,563.5689285714285,0.9014285714285715,30.17214285714286,99,-1131.6363636363637,50.914090909090916,14.100454545454546,15.757272727272726,18.24318181818182,488.5013636363637,1.1686363636363635,29.979999999999993,99
OXI BEAN,3745.657142857143,40.86657142857142,14.889714285714282,22.944285714285716,22.608857142857143,645.1762857142857,6.568857142857143,29.521428571428572,86,-654.8709677419355,41.13,15.913870967741936,22.239032258064512,23.283548387096783,564.0416129032259,5.731935483870968,30.56419354838709,86
Bonobo Tamer,2160.6176470588234,50.93794117647059,14.42764705882353,22.145588235294124,23.864117647058823,714.4344117647059,6.590294117647058,29.139117647058825,236,-2125.703703703704,48.941481481481496,18.75925925925926,21.361851851851853,23.082962962962966,579.707037037037,6.262962962962963,28.96259259259259,236
StarFrièzà,3871.235294117647,38.984117647058824,14.965882352941176,24.581764705882353,27.666470588235292,799.3858823529413,7.67764705882353,25.81529411764706,83,847.8571428571429,42.39714285714286,16.568571428571428,25.611428571428572,28.240714285714294,663.7950000000001,6.917857142857143,28.49428571428572,83
Bpollo,-290.4,36.90866666666667,22.175999999999995,17.320666666666668,16.672666666666665,480.4800000000001,4.415333333333334,30.55999999999999,17,-2131.8333333333335,46.45666666666667,17.107777777777777,19.816111111111113,16.548333333333332,383.55777777777774,4.335,29.28055555555556,236
vampblood,2043.111111111111,52.85222222222222,18.221111111111114,19.45777777777778,19.505555555555556,555.8588888888889,2.872222222222222,30.36,7,-1271.25,63.655,19.4925,20.4025,20.167500000000004,480.085,1.3724999999999998,30.0475,7
The Master Bait,1494.8666666666666,53.21533333333333,21.689999999999998,17.472666666666665,15.752666666666668,433.86800000000005,2.8173333333333335,29.14066666666667,267,-1650.3809523809523,47.99142857142857,18.290476190476188,18.123809523809523,17.48142857142857,446.6090476190476,2.703809523809524,28.49761904761905,267
refahx,3395.032258064516,51.10935483870968,20.137419354838705,22.76451612903226,22.25516129032258,641.8322580645159,4.203548387096775,27.74870967741935,555,-1444.275,44.028499999999994,18.2055,20.38975,18.9695,459.23900000000003,3.6225,27.627,555
ImmortalZergon,3362.8571428571427,53.13714285714286,18.627142857142854,22.37857142857143,25.84857142857143,698.2014285714286,5.507142857142857,31.557142857142857,82,464.0,45.38666666666668,18.888333333333332,22.453333333333337,32.25666666666667,826.3166666666666,6.121666666666667,26.843333333333334,82
Gucci Ad Lib,1893.638888888889,45.49777777777777,26.90222222222222,21.111111111111114,24.160833333333333,763.6102777777777,4.9205555555555565,29.778333333333325,58,-1418.09375,49.799687500000005,24.315,21.103749999999998,22.6371875,640.18,3.75,30.237187499999997,58
SSShengTTT,3581.8125,45.080625,19.53,21.745625,25.200625,763.319375,5.4087499999999995,30.247500000000002,122,-1435.9,44.50099999999999,20.312,21.565499999999997,19.849500000000003,529.0145,4.6985,30.828999999999997,91
mop the floor ,3940.125,48.690625,18.3584375,23.3815625,33.9721875,1052.035625,7.4515625000000005,26.450000000000003,8,-326.37931034482756,45.26931034482759,19.167241379310347,22.32172413793104,28.86758620689655,796.8172413793102,6.498275862068965,30.1651724137931,8
master56r,2530.275,58.713249999999995,23.0535,22.369,26.270249999999997,778.0907500000001,5.18875,29.564999999999998,21,-827.8529411764706,54.476764705882346,20.821176470588238,22.2,25.23088235294118,698.935294117647,5.396764705882353,31.5585294117647,21
SSolkill,1676.0625,43.65875,10.876875,20.548125,20.82125,642.35375,5.639374999999999,29.628124999999997,41,-1162.090909090909,44.33909090909091,12.165454545454544,20.85363636363636,22.358181818181816,632.3699999999999,5.453636363636363,31.29636363636364,41
Resonance99,447.2857142857143,50.89857142857142,17.852380952380948,20.64142857142857,20.613333333333333,655.0580952380952,5.47,31.567142857142862,236,-1457.8666666666666,50.468666666666664,16.008,20.723333333333333,19.475333333333335,507.492,5.413999999999999,31.739333333333327,110
cocacookies,1346.590909090909,53.218636363636364,17.295909090909095,19.30681818181818,17.70545454545455,545.5904545454546,3.3790909090909094,29.352272727272727,523,-1666.7083333333333,49.956250000000004,19.102083333333336,20.212500000000002,17.21166666666667,437.2104166666666,3.795,29.77333333333333,523
TheKidReturns,1502.0588235294117,49.6264705882353,19.884705882352943,20.850588235294115,21.01294117647059,646.4958823529412,4.719411764705883,30.418823529411764,4,-1214.111111111111,58.96222222222223,21.47611111111111,21.668333333333333,23.222222222222218,497.43888888888887,4.073333333333333,26.326666666666668,555
Rakurii,1521.6,44.27285714285714,26.582,20.412285714285716,21.685714285714287,677.6528571428572,3.6760000000000006,29.813428571428574,81,-834.3428571428572,49.55800000000001,23.406000000000002,20.753714285714288,23.54485714285714,623.1017142857143,3.4091428571428573,30.39485714285714,48
Iamheretotroll,1222.8695652173913,49.37347826086956,14.793043478260865,19.976521739130433,19.653478260869566,584.2900000000001,4.149565217391304,31.250000000000004,245,-2416.7727272727275,37.44,17.452727272727273,19.627727272727274,17.28136363636364,422.78681818181815,4.348181818181818,28.813636363636363,245
Siori,2339.4545454545455,44.88272727272727,26.065454545454546,21.58909090909091,25.14363636363636,766.7727272727273,5.048181818181818,27.35636363636364,8,-3254.1428571428573,41.51857142857143,27.88428571428571,19.64142857142857,21.618571428571425,631.3185714285715,5.125714285714286,31.971428571428564,157
IgnoranceIzBliss,29.785714285714285,42.695,24.28571428571429,19.585714285714285,16.859285714285715,542.935,4.139285714285714,32.06928571428572,21,-2437.55,42.230000000000004,21.936,19.9865,18.3615,437.2580000000001,4.193500000000001,27.798000000000002,21
Paco4Realz,1162.9166666666667,49.27875,21.53958333333333,21.20958333333333,27.26,863.7433333333332,5.535416666666666,28.668333333333333,112,-1885.904761904762,47.051428571428566,23.064285714285713,21.02857142857143,26.25142857142857,713.6333333333333,5.302380952380952,29.607619047619053,112
Buff Boy Bruz,1116.2142857142858,50.237380952380946,18.77952380952381,18.030238095238094,18.73404761904762,564.8140476190476,3.4369047619047617,30.31619047619048,134,-1978.923076923077,48.138974358974366,21.333076923076927,17.68179487179487,17.432307692307695,426.6392307692308,3.171025641025641,30.086153846153845,134
Saikokyari,-15.34375,52.8515625,27.2234375,19.409374999999997,22.674062499999998,711.239375,3.1946874999999997,31.1371875,103,-2355.8518518518517,53.4062962962963,24.149999999999995,20.19111111111111,22.72074074074074,591.4996296296296,2.645925925925926,30.367037037037036,103
SHRO0MDEALER,2026.4411764705883,43.279411764705884,23.361176470588237,21.21941176470588,22.438235294117646,674.4870588235293,5.262058823529411,29.42970588235294,67,-1362.948717948718,41.59210526315789,21.8825641025641,20.637179487179488,20.2751282051282,501.52307692307687,5.186923076923078,29.399487179487185,67
