,GamesPlayed,WinRate,WinGoldDiff,WinKP,WinDP,WinGoldShare,WinDmgShare,WinDmgRate,WinCSRate,WinTime,WinningestRole,WinningestChampion,LoseGoldDiff,LoseKP,LoseDP,LoseGoldShare,LoseDmgShare,LoseDmgRate,LoseCSRate,LoseTime,LosingestRole,LosingestChampion
Yorichou,79,49.37,634.9230769230769,49.66769230769231,16.766410256410257,18.249230769230763,22.16025641025641,695.6082051282052,3.338717948717949,31.442820512820507,SOLOMID,Syndra,-1696.825,52.75450000000001,19.747500000000002,19.705,25.764999999999997,690.83825,3.7707499999999996,31.52925,SOLOMID,Syndra
DADLCK JI,75,48.0,2138.0555555555557,54.565,16.034444444444446,21.11583333333333,27.4925,782.2908333333334,4.889166666666667,28.404999999999998,SOLOMID,Leblanc,-835.2564102564103,51.46794871794872,17.476410256410258,21.320769230769233,24.635897435897437,638.855641025641,5.037435897435897,29.54794871794872,SOLOMID,Leblanc
Twisted Fate Mid,75,46.67,413.6857142857143,44.907999999999994,20.230571428571427,19.313142857142857,18.484285714285715,539.608,4.412571428571429,28.635714285714286,SOLOMID,TwistedFate,-2180.6,46.96975,17.40075,19.33825,18.33475,457.12075000000004,3.9442499999999994,29.40575,SOLOMID,TwistedFate
JSTILLLAGGING,69,56.52,3287.5128205128203,55.50282051282051,15.504615384615386,21.38102564102564,29.494102564102565,901.7271794871793,4.728205128205128,30.66410256410257,SOLOMID,Xerath,-2111.3,54.567,17.493666666666666,20.351666666666667,28.678666666666672,795.7463333333333,3.9889999999999994,32.50333333333333,SOLOMID,Xerath
Ferowx,77,49.35,598.3157894736842,48.129999999999995,23.470526315789478,19.361315789473686,18.26421052631579,594.318947368421,2.8755263157894744,30.712105263157895,NONEJUNGLE,Rengar,-2148.3333333333335,46.2297435897436,24.044871794871796,19.497179487179487,18.132564102564103,468.3176923076922,3.00974358974359,29.679743589743595,DUO_CARRYBOTTOM,Rengar
sebasking333,71,50.7,2443.75,43.69722222222222,14.973333333333333,21.381944444444443,20.984444444444446,604.8347222222221,5.373888888888889,28.95861111111111,SOLOTOP,MissFortune,-887.9428571428572,41.94057142857143,17.71542857142858,21.413714285714285,19.464571428571432,462.45885714285714,4.698571428571429,31.213428571428572,SOLOTOP,Jax
LM bolld carving,71,52.11,3202.7837837837837,54.32162162162162,21.3145945945946,23.078378378378382,27.22945945945946,821.4778378378378,4.082432432432432,27.769459459459455,NONEJUNGLE,Khazix,-1219.1470588235295,50.79911764705883,21.935882352941174,23.13735294117647,23.698823529411765,647.884411764706,4.313529411764706,31.044117647058822,DUO_CARRYBOTTOM,MasterYi
lxh714,77,45.45,1082.6,44.70428571428571,23.605714285714285,21.086285714285715,20.671714285714284,665.304,3.959142857142858,29.895428571428567,NONEJUNGLE,MasterYi,-1210.5,44.9147619047619,23.745238095238093,21.58214285714286,20.549285714285716,520.187380952381,3.9876190476190474,29.67357142857143,NONEJUNGLE,MasterYi
Kuro D Az,70,50.0,573.3142857142857,42.43342857142857,25.308857142857146,18.647714285714283,21.740857142857145,689.2788571428571,4.433428571428571,30.71542857142857,SOLOMID,Ekko,-2409.342857142857,40.91657142857142,21.886285714285712,18.995428571428576,21.698285714285717,600.2574285714286,4.317428571428571,32.00628571428571,SOLOMID,Brand
Zissure,78,51.28,1736.45,47.30625,20.03975,19.748,19.271749999999997,607.1775,5.2055,32.352250000000005,SOLOTOP,Shen,-1564.4736842105262,44.14368421052632,16.24842105263158,20.31026315789474,20.840789473684204,509.0136842105262,5.315526315789473,30.33552631578948,SOLOTOP,Shen
linclayton,67,56.72,1299.4736842105262,45.86263157894737,18.395263157894735,20.4178947368421,23.570526315789472,755.5247368421052,4.575789473684211,31.26052631578947,SOLOTOP,Shyvana,-2712.6206896551726,46.568275862068965,23.358275862068965,19.98827586206896,23.586896551724138,566.0082758620689,4.01551724137931,30.20689655172414,SOLOTOP,Shyvana
Ass Hoe,74,48.65,1747.0833333333333,50.23972222222223,17.8125,17.619722222222222,14.771388888888891,450.79750000000007,1.0180555555555555,30.926388888888887,NONEJUNGLE,Blitzcrank,-1130.2894736842106,56.518421052631574,17.412631578947366,17.20842105263158,15.74921052631579,422.6802631578947,1.1721052631578945,32.106052631578955,DUO_SUPPORTBOTTOM,Blitzcrank
prolyth,77,48.05,2096.2702702702704,38.965675675675676,18.71054054054054,21.652432432432434,24.483513513513515,797.5737837837838,5.428918918918921,31.929729729729726,SOLOTOP,Teemo,-367.225,41.0985,17.73975,21.68025,26.289250000000003,765.51875,4.9565,33.61475,SOLOTOP,Teemo
demonfoxslayer17,60,55.0,4335.30303030303,48.09818181818182,17.608181818181816,23.864242424242427,25.228181818181817,741.7433333333333,3.461515151515151,29.723030303030303,NONEJUNGLE,MasterYi,448.55555555555554,46.54481481481481,15.909629629629627,23.364444444444445,23.47407407407407,553.6651851851852,3.96962962962963,27.487407407407407,SOLOTOP,Darius
Pakonab,77,54.55,1425.5714285714287,41.69809523809524,17.65833333333333,19.932142857142857,22.36357142857143,699.7185714285714,4.6035714285714295,30.082619047619048,SOLOMID,Swain,-2323.285714285714,41.80657142857143,18.22,20.20342857142857,22.32457142857143,609.82,4.796571428571429,32.272571428571425,SOLOMID,Swain
KingCrimsonChika,50,54.0,857.925925925926,43.736296296296295,12.905185185185186,14.787037037037036,10.59925925925926,303.0948148148148,1.0974074074074074,29.283703703703704,DUO_SUPPORTBOTTOM,Leona,-1383.304347826087,41.96826086956521,19.52130434782609,15.772608695652172,13.907391304347826,347.704347826087,1.0452173913043479,28.91652173913043,DUO_SUPPORTBOTTOM,Poppy
LtD Kamiiii,75,52.0,1558.6410256410256,49.581282051282045,21.87820512820512,19.09384615384615,19.453589743589742,636.5984615384616,1.849230769230769,29.506666666666668,NONEJUNGLE,Khazix,-1442.0833333333333,52.08888888888889,23.066111111111113,19.266388888888887,18.979722222222218,500.2961111111111,1.4422222222222223,30.334722222222222,NONEJUNGLE,Khazix
Tripzor,66,50.0,4003.151515151515,40.656666666666666,13.635151515151513,23.203636363636363,22.226666666666663,687.2127272727273,5.853636363636364,30.220303030303032,SOLOTOP,Riven,-1212.2727272727273,36.79757575757576,17.73878787878788,20.865151515151513,17.44121212121212,425.6690909090909,4.800909090909091,30.75363636363636,SOLOTOP,Riven
Pi Pi ChI,70,40.0,818.6785714285714,54.887499999999996,16.144285714285715,15.602857142857143,9.23607142857143,286.7735714285714,1.1517857142857142,30.511785714285715,DUO_SUPPORTBOTTOM,Lulu,-2048.4523809523807,50.239999999999995,17.739285714285714,15.436904761904762,11.07642857142857,276.6257142857143,1.6883333333333337,30.030952380952375,DUO_SUPPORTBOTTOM,Lulu
